X1,Name,judge_country,number,segment,skater,skater_country,TSS
305,Sharon ROGERS,USA,8,2018 Olympic Games Ice Dance Short,Lorenz/Polizoakis,GER,62.5
515,Albert ZAYDMAN,ISR,9,2018 Olympic Games Ice Dance Short,Lorenz/Polizoakis,GER,57
386,Leanna CARON,CAN,1,2018 Olympic Games Ice Dance Short,Lauriault/Le Gac,FRA,60.6
380,Maira ABASOVA,RUS,2,2018 Olympic Games Ice Dance Short,Lauriault/Le Gac,FRA,57.8
1,Anastassiya MAKAROVA,UKR,3,2018 Olympic Games Ice Dance Short,Lauriault/Le Gac,FRA,57.6
271,Christine HURTH,FRA,4,2018 Olympic Games Ice Dance Short,Lauriault/Le Gac,FRA,60.2
488,Kaoru TAKINO,JPN,5,2018 Olympic Games Ice Dance Short,Lauriault/Le Gac,FRA,61.8
36,Tanay OKZAN,TUR,6,2018 Olympic Games Ice Dance Short,Lauriault/Le Gac,FRA,59.1
143,Walter ZUCCARO,ITA,7,2018 Olympic Games Ice Dance Short,Lauriault/Le Gac,FRA,60
305,Sharon ROGERS,USA,8,2018 Olympic Games Ice Dance Short,Lauriault/Le Gac,FRA,58.5
515,Albert ZAYDMAN,ISR,9,2018 Olympic Games Ice Dance Short,Lauriault/Le Gac,FRA,65
386,Leanna CARON,CAN,1,2018 Olympic Games Ice Dance Short,Mysliveckova/Csolley,SVK,59.1
380,Maira ABASOVA,RUS,2,2018 Olympic Games Ice Dance Short,Mysliveckova/Csolley,SVK,62.3
1,Anastassiya MAKAROVA,UKR,3,2018 Olympic Games Ice Dance Short,Mysliveckova/Csolley,SVK,55.1
271,Christine HURTH,FRA,4,2018 Olympic Games Ice Dance Short,Mysliveckova/Csolley,SVK,58.1
488,Kaoru TAKINO,JPN,5,2018 Olympic Games Ice Dance Short,Mysliveckova/Csolley,SVK,60
36,Tanay OKZAN,TUR,6,2018 Olympic Games Ice Dance Short,Mysliveckova/Csolley,SVK,61.2
143,Walter ZUCCARO,ITA,7,2018 Olympic Games Ice Dance Short,Mysliveckova/Csolley,SVK,64.3
305,Sharon ROGERS,USA,8,2018 Olympic Games Ice Dance Short,Mysliveckova/Csolley,SVK,56.3
515,Albert ZAYDMAN,ISR,9,2018 Olympic Games Ice Dance Short,Mysliveckova/Csolley,SVK,62.9
386,Leanna CARON,CAN,1,2018 Olympic Games Ice Dance Short,Agafonova/Ucar,TUR,54.9
380,Maira ABASOVA,RUS,2,2018 Olympic Games Ice Dance Short,Agafonova/Ucar,TUR,61.5
1,Anastassiya MAKAROVA,UKR,3,2018 Olympic Games Ice Dance Short,Agafonova/Ucar,TUR,54.9
271,Christine HURTH,FRA,4,2018 Olympic Games Ice Dance Short,Agafonova/Ucar,TUR,56.8
488,Kaoru TAKINO,JPN,5,2018 Olympic Games Ice Dance Short,Agafonova/Ucar,TUR,60.3
36,Tanay OKZAN,TUR,6,2018 Olympic Games Ice Dance Short,Agafonova/Ucar,TUR,63.4
143,Walter ZUCCARO,ITA,7,2018 Olympic Games Ice Dance Short,Agafonova/Ucar,TUR,60
305,Sharon ROGERS,USA,8,2018 Olympic Games Ice Dance Short,Agafonova/Ucar,TUR,58.4
515,Albert ZAYDMAN,ISR,9,2018 Olympic Games Ice Dance Short,Agafonova/Ucar,TUR,62.5
386,Leanna CARON,CAN,1,2018 Olympic Games Ice Dance Short,Nazarova/Nikitin,UKR,48
380,Maira ABASOVA,RUS,2,2018 Olympic Games Ice Dance Short,Nazarova/Nikitin,UKR,59
1,Anastassiya MAKAROVA,UKR,3,2018 Olympic Games Ice Dance Short,Nazarova/Nikitin,UKR,63
271,Christine HURTH,FRA,4,2018 Olympic Games Ice Dance Short,Nazarova/Nikitin,UKR,60
488,Kaoru TAKINO,JPN,5,2018 Olympic Games Ice Dance Short,Nazarova/Nikitin,UKR,57.4
36,Tanay OKZAN,TUR,6,2018 Olympic Games Ice Dance Short,Nazarova/Nikitin,UKR,57.4
143,Walter ZUCCARO,ITA,7,2018 Olympic Games Ice Dance Short,Nazarova/Nikitin,UKR,56.4
305,Sharon ROGERS,USA,8,2018 Olympic Games Ice Dance Short,Nazarova/Nikitin,UKR,54.9
515,Albert ZAYDMAN,ISR,9,2018 Olympic Games Ice Dance Short,Nazarova/Nikitin,UKR,60.5
386,Leanna CARON,CAN,1,2018 Olympic Games Ice Dance Short,Wang/Liu,CHN,56.3
380,Maira ABASOVA,RUS,2,2018 Olympic Games Ice Dance Short,Wang/Liu,CHN,58.3
1,Anastassiya MAKAROVA,UKR,3,2018 Olympic Games Ice Dance Short,Wang/Liu,CHN,52.3
271,Christine HURTH,FRA,4,2018 Olympic Games Ice Dance Short,Wang/Liu,CHN,55.3
488,Kaoru TAKINO,JPN,5,2018 Olympic Games Ice Dance Short,Wang/Liu,CHN,59.9
36,Tanay OKZAN,TUR,6,2018 Olympic Games Ice Dance Short,Wang/Liu,CHN,58.1
